"latitude","longitude","year","month","country","basisOfRecord","latitude_moved","longitude_moved","dist_moved","BelgiumCoast_seaway","BelgiumCoast_geodesic","Getxo_seaway","Getxo_geodesic","GulfofPiran_seaway","GulfofPiran_geodesic","Plymouth_seaway","Plymouth_geodesic","Roscoff_seaway","Roscoff_geodesic"
51.15501,2.71836,2025,3,"Belgium","HUMAN_OBSERVATION",51.15,2.65000000000001,4.81,43,41,1227,968,5422,1022,527,488,562,546
51.15654,2.72783,2025,3,"Belgium","HUMAN_OBSERVATION",51.15,2.65000000000001,5.48,43,41,1227,968,5422,1022,527,488,562,546
54.393558,-5.576692,2025,4,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",54.45,-5.54999999999999,6.52,1150,679,1265,1249,5396,1684,596,464,669,647
50.356579,-4.126307,2025,4,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,569,524,807,785,4991,1423,0,2,180,183
51.562455,-4.308588,2025,4,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,847,519,960,919,5104,1476,293,133,366,317
54.679797,-5.880275,2025,4,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,1180,710,1295,1278,5426,1715,626,494,699,676
54.393558,-5.576692,2025,4,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",54.45,-5.54999999999999,6.52,1150,679,1265,1249,5396,1684,596,464,669,647
51.36014,3.35151,2025,4,"Belgium","HUMAN_OBSERVATION",51.45,3.35000000000001,10,18,18,1287,1021,5482,1001,587,541,622,605
51.36015,3.35149,2025,4,"Belgium","HUMAN_OBSERVATION",51.45,3.35000000000001,10,18,18,1287,1021,5482,1001,587,541,622,605
51.36735,3.34863,2025,4,"Belgium","HUMAN_OBSERVATION",51.45,3.35000000000001,9.2,18,18,1287,1021,5482,1001,587,541,622,605
52.264743,-9.75035,2024,1,"Ireland","HUMAN_OBSERVATION",NA,NA,NA,1153,894,1168,1112,5140,1857,599,443,650,569
48.349979,-4.570843,2024,1,"France","HUMAN_OBSERVATION",NA,NA,NA,701,647,575,570,4783,1413,238,226,97,61
51.5,3.9,2024,1,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,85,55,1351,1046,5546,975,651,580,686,642
51.55,3.65,2024,1,"Netherlands","HUMAN_OBSERVATION",51.65,3.65000000000001,11.13,49,48,1315,1051,5510,998,615,566,651,634
51.5,3.95,2024,1,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,85,58,1351,1047,5546,972,651,583,686,645
52.923652,1.33311,2024,1,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,218,215,1359,1113,5554,1210,659,474,694,598
50.808036,-1.316373,2024,1,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,351,319,958,840,5153,1251,236,207,302,301
55.292948,-6.192822,2024,1,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,1254,761,1369,1349,5499,1766,700,565,773,747
51.2056,2.85378,2024,1,"Belgium","HUMAN_OBSERVATION",NA,NA,NA,25,26,1245,980,5439,1013,544,503,580,562
51.20579,2.85416,2024,1,"Belgium","HUMAN_OBSERVATION",NA,NA,NA,25,26,1245,980,5439,1013,544,503,580,562
51.20817,2.85305,2024,1,"Belgium","HUMAN_OBSERVATION",NA,NA,NA,25,26,1245,980,5439,1013,544,503,580,562
51.25562,2.96938,2024,1,"Belgium","HUMAN_OBSERVATION",51.25,2.85000000000001,8.34,25,24,1245,984,5439,1016,544,503,580,564
51.378345,3.586246,2024,1,"Netherlands","HUMAN_OBSERVATION",51.45,3.55000000000001,8.36,32,30,1301,1028,5496,990,601,555,636,617
51.845926,-8.311974,2024,2,"Ireland","HUMAN_OBSERVATION",51.85,-8.24999999999999,4.29,949,791,1026,1024,5073,1745,395,331,467,463
51.460852,-9.74247,2024,2,"Ireland","HUMAN_OBSERVATION",NA,NA,NA,1022,896,1037,1035,5017,1836,468,411,517,514
48.536564,-1.969618,2024,2,"France","HUMAN_OBSERVATION",48.65,-2.04999999999999,13.95,538,479,824,595,5019,1233,245,244,158,141
50.710608,-1.972639,2024,2,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",50.65,-1.84999999999999,10.97,386,359,917,818,5112,1279,190,167,262,264
48.576872,-1.983958,2024,2,"France","HUMAN_OBSERVATION",48.65,-2.04999999999999,9.48,538,479,824,595,5019,1233,245,244,158,141
51.3,3.85,2024,2,"Netherlands","HUMAN_OBSERVATION",51.35,3.85000000000001,5.57,97,49,1363,1030,5558,967,663,574,699,631
51.5,3.95,2024,2,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,85,58,1351,1047,5546,972,651,583,686,645
51.5,4.05,2024,2,"Netherlands","HUMAN_OBSERVATION",51.55,4.05000000000001,5.57,80,66,1347,1056,5542,970,646,591,682,654
51.5,4,2024,2,"Netherlands","HUMAN_OBSERVATION",51.55,3.95000000000001,6.56,73,60,1340,1052,5535,975,640,584,675,647
51.65,3.75,2024,2,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,56,53,1322,1054,5517,993,622,573,657,640
50.84137,0.499859,2024,2,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",50.75,0.45000000000001,10.76,212,201,1057,865,5252,1134,357,329,393,390
51.23844,2.9255,2024,2,"Belgium","HUMAN_OBSERVATION",51.25,2.85000000000001,5.42,25,24,1245,984,5439,1016,544,503,580,564
51.32498,3.15682,2024,2,"Belgium","HUMAN_OBSERVATION",NA,NA,NA,0,3,1269,1002,5464,1004,569,526,605,587
51.35987,3.31532,2024,2,"Belgium","HUMAN_OBSERVATION",51.45,3.35000000000001,10.32,18,18,1287,1021,5482,1001,587,541,622,605
51.24048,2.92967,2024,2,"Belgium","HUMAN_OBSERVATION",51.25,2.85000000000001,5.65,25,24,1245,984,5439,1016,544,503,580,564
54.693764,8.438766,2024,2,"Germany","HUMAN_OBSERVATION",NA,NA,NA,520,514,1758,1511,5953,1084,1058,979,1093,1083
53.568527,6.753759,2024,2,"Germany","HUMAN_OBSERVATION",NA,NA,NA,364,348,1602,1345,5797,1021,902,829,938,923
48.692659,-1.913705,2024,3,"France","HUMAN_OBSERVATION",48.65,-1.84999999999999,6.67,538,467,839,597,5033,1219,255,254,173,156
53.774979,7.865139,2024,3,"Germany","HUMAN_OBSERVATION",NA,NA,NA,445,418,1683,1408,5878,1006,982,906,1018,998
51.710901,-5.167226,2024,3,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",51.65,-5.14999999999999,6.88,841,577,956,938,5092,1534,287,159,360,337
51.443146,-2.862865,2024,3,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,926,418,1037,901,5181,1377,372,150,445,313
54.79765,-3.454612,2024,3,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",54.85,-3.44999999999999,5.84,1218,589,1333,1281,5469,1591,665,501,737,683
48.60146,-2.193534,2024,3,"France","HUMAN_OBSERVATION",NA,NA,NA,539,490,817,588,5011,1243,240,242,151,131
51.65,3.7,2024,3,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,56,51,1322,1052,5517,996,622,569,657,637
51.30516,3.08505,2024,3,"Belgium","HUMAN_OBSERVATION",NA,NA,NA,7,7,1262,998,5457,1006,562,520,598,581
51.30408,3.08063,2024,3,"Belgium","HUMAN_OBSERVATION",NA,NA,NA,7,7,1262,997,5457,1007,562,520,598,581
51.32142,3.14467,2024,3,"Belgium","HUMAN_OBSERVATION",NA,NA,NA,0,3,1269,1001,5464,1004,569,525,605,586
51.23157,2.90915,2024,3,"Belgium","HUMAN_OBSERVATION",51.25,2.85000000000001,4.6,25,24,1245,984,5439,1016,544,503,580,564
51.32254,3.14814,2024,3,"Belgium","HUMAN_OBSERVATION",NA,NA,NA,0,3,1269,1002,5464,1004,569,525,605,586
51.3233,3.15591,2024,3,"Belgium","HUMAN_OBSERVATION",NA,NA,NA,0,3,1269,1002,5464,1004,569,526,605,587
57.78026,11.59941,2024,3,"Sweden","HUMAN_OBSERVATION",NA,NA,NA,940,899,2163,1902,6358,1371,1463,1315,1499,1442
54.385854,-5.461621,2024,4,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,1138,670,1253,1241,5384,1676,584,456,657,639
52.303963,-10.04362,2024,4,"Ireland","HUMAN_OBSERVATION",NA,NA,NA,1141,914,1156,1126,5128,1877,587,463,638,587
54.67888,-5.623156,2024,4,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",54.75,-5.64999999999999,8.1,1191,700,1305,1283,5436,1706,637,498,709,681
51.321389,-3.015046,2024,4,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,909,430,1020,888,5164,1382,355,133,427,298
53.265628,-9.049789,2024,4,"Ireland","HUMAN_OBSERVATION",NA,NA,NA,1266,858,1281,1190,5254,1843,712,467,763,619
53.264642,-9.049275,2024,4,"Ireland","HUMAN_OBSERVATION",NA,NA,NA,1266,858,1281,1190,5254,1843,712,467,763,619
53.264519,-9.049294,2024,4,"Ireland","HUMAN_OBSERVATION",NA,NA,NA,1266,858,1281,1190,5254,1843,712,467,763,619
48.709687,-3.837788,2024,4,"France","HUMAN_OBSERVATION",NA,NA,NA,597,580,673,600,4868,1364,181,186,7,10
57.058571,9.883364,2024,4,"Denmark","HUMAN_OBSERVATION",57.05,9.65000000000001,14.16,822,762,2046,1767,6241,1311,1345,1173,1381,1299
54.680345,-5.88032,2024,4,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,1180,710,1295,1278,5426,1715,626,494,699,676
54.653015,-5.818496,2024,4,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,1180,705,1295,1275,5426,1710,626,490,699,673
54.531479,-5.562252,2024,4,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",54.55,-5.64999999999999,6.03,1163,690,1278,1261,5409,1695,609,476,682,659
53.98687,-2.869048,2024,4,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",53.95,-2.94999999999999,6.7,1167,504,1282,1180,5418,1509,614,407,686,586
54.680345,-5.88032,2024,4,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,1180,710,1295,1278,5426,1715,626,494,699,676
54.531479,-5.562252,2024,4,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",54.55,-5.64999999999999,6.03,1163,690,1278,1261,5409,1695,609,476,682,659
54.653015,-5.818496,2024,4,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,1180,705,1295,1275,5426,1710,626,490,699,673
51.20263,2.84241,2024,4,"Belgium","HUMAN_OBSERVATION",NA,NA,NA,25,27,1245,979,5439,1014,544,502,580,561
51.20108,2.8441,2024,4,"Belgium","HUMAN_OBSERVATION",NA,NA,NA,25,27,1245,979,5439,1013,544,502,580,561
51.15497,2.72985,2024,4,"Belgium","HUMAN_OBSERVATION",51.15,2.65000000000001,5.6,43,41,1227,968,5422,1022,527,488,562,546
51.14317,2.69749,2024,4,"Belgium","HUMAN_OBSERVATION",NA,NA,NA,43,39,1227,969,5422,1018,527,491,562,549
54.666322,-5.693326,2024,5,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",54.75,-5.64999999999999,9.72,1191,700,1305,1283,5436,1706,637,498,709,681
