"latitude","longitude","year","month","country","basisOfRecord","latitude_moved","longitude_moved","dist_moved","BelgiumCoast_seaway","BelgiumCoast_geodesic","Bodo_seaway","Bodo_geodesic","Crete_seaway","Crete_geodesic","Gdynia_seaway","Gdynia_geodesic","Getxo_seaway","Getxo_geodesic","GulfofPiran_seaway","GulfofPiran_geodesic","Koster_seaway","Koster_geodesic","Limfjord_seaway","Limfjord_geodesic","RavennaH_seaway","RavennaH_geodesic","RavennaM_seaway","RavennaM_geodesic","Roscoff_seaway","Roscoff_geodesic","SWC_seaway","SWC_geodesic","TZS_seaway","TZS_geodesic","Toralla_seaway","Toralla_geodesic"
56.37574,12.69103,2025,2,"Sweden","HUMAN_OBSERVATION",NA,NA,NA,1065,839,1680,1216,6252,2520,522,434,2288,1829,6483,1209,295,294,320,231,6450,1327,6450,1327,1624,1409,156,157,952,731,2503,2199
56.38053,12.68768,2025,2,"Sweden","HUMAN_OBSERVATION",NA,NA,NA,1065,840,1680,1216,6252,2521,522,434,2288,1829,6483,1210,295,293,320,230,6450,1327,6450,1327,1624,1409,156,156,952,731,2503,2199
55.51054,12.92686,2025,2,"Sweden","HUMAN_OBSERVATION",55.55,12.85,6.54,1147,795,1762,1307,6334,2434,430,391,2370,1771,6565,1117,383,385,402,279,6532,1235,6532,1235,1706,1374,244,247,859,781,2585,2153
56.87677,16.63116,2025,2,"Sweden","HUMAN_OBSERVATION",56.85,16.55,5.77,1482,1066,2097,1163,6668,2476,306,298,2705,2039,6900,1277,718,394,737,457,6867,1410,6867,1410,2041,1644,579,305,524,514,2920,2425
56.37622,12.6908,2025,2,"Sweden","HUMAN_OBSERVATION",NA,NA,NA,1065,839,1680,1216,6252,2521,522,434,2288,1829,6483,1209,295,294,320,231,6450,1327,6450,1327,1624,1409,156,157,952,731,2503,2199
59.898934,10.634625,2025,2,"Norway","HUMAN_OBSERVATION",59.85,10.55,7.21,Inf,1054,Inf,849,Inf,2922,Inf,775,Inf,2054,Inf,1607,Inf,113,Inf,340,Inf,1718,Inf,1718,Inf,1551,Inf,251,Inf,711,Inf,2364
59.898105,10.634014,2025,2,"Norway","HUMAN_OBSERVATION",59.85,10.55,7.12,Inf,1054,Inf,849,Inf,2922,Inf,775,Inf,2054,Inf,1607,Inf,113,Inf,340,Inf,1718,Inf,1718,Inf,1551,Inf,251,Inf,711,Inf,2364
54.102086,11.614419,2025,3,"Germany","HUMAN_OBSERVATION",NA,NA,NA,1266,648,1881,1474,6453,2335,507,460,2489,1603,6684,965,532,532,521,351,6651,1075,6651,1075,1825,1235,403,399,968,951,2704,1998
54.607843,18.79792,2025,3,"Poland","HUMAN_OBSERVATION",NA,NA,NA,1564,1109,2179,1426,6751,2196,23,20,2787,2016,6982,1077,800,668,819,662,6949,1221,6949,1221,2123,1696,661,556,642,642,3002,2437
54.59525,18.817572,2025,3,"Poland","HUMAN_OBSERVATION",NA,NA,NA,1574,1110,2189,1427,6761,2195,17,19,2798,2016,6993,1077,811,670,830,664,6960,1220,6960,1220,2133,1697,671,558,650,642,3013,2437
