"latitude","longitude","year","month","country","basisOfRecord","latitude_moved","longitude_moved","dist_moved","RavennaH_seaway","RavennaH_geodesic"
45.52,13.57,2013,12,"Slovenia","MATERIAL_SAMPLE",NA,NA,NA,155,153
45.52,13.57,2013,12,"Slovenia","MATERIAL_SAMPLE",NA,NA,NA,155,153
45.52,13.57,2013,12,"Slovenia","MATERIAL_SAMPLE",NA,NA,NA,155,153
45.52,13.57,2013,12,"Slovenia","MATERIAL_SAMPLE",NA,NA,NA,155,153
45.52,13.57,2013,12,"Slovenia","MATERIAL_SAMPLE",NA,NA,NA,155,153
45.52,13.57,2013,12,"Slovenia","MATERIAL_SAMPLE",NA,NA,NA,155,153
45.52,13.57,2013,12,"Slovenia","MATERIAL_SAMPLE",NA,NA,NA,155,153
45.52,13.57,2013,12,"Slovenia","MATERIAL_SAMPLE",NA,NA,NA,155,153
45.52,13.57,2013,12,"Slovenia","MATERIAL_SAMPLE",NA,NA,NA,155,153
45.52,13.57,2013,12,"Slovenia","MATERIAL_SAMPLE",NA,NA,NA,155,153
45.52,13.57,2013,12,"Slovenia","MATERIAL_SAMPLE",NA,NA,NA,155,153
45.52,13.57,2013,12,"Slovenia","MATERIAL_SAMPLE",NA,NA,NA,155,153
45.52,13.57,2013,12,"Slovenia","MATERIAL_SAMPLE",NA,NA,NA,155,153
45.52,13.57,2013,12,"Slovenia","MATERIAL_SAMPLE",NA,NA,NA,155,153
45.52,13.57,2013,12,"Slovenia","MATERIAL_SAMPLE",NA,NA,NA,155,153
45.52,13.57,2013,12,"Slovenia","MATERIAL_SAMPLE",NA,NA,NA,155,153
45.52,13.57,2013,12,"Slovenia","MATERIAL_SAMPLE",NA,NA,NA,155,153
45.52,13.57,2013,12,"Slovenia","MATERIAL_SAMPLE",NA,NA,NA,155,153
45.52,13.57,2013,12,"Slovenia","MATERIAL_SAMPLE",NA,NA,NA,155,153
45.52,13.57,2013,12,"Slovenia","MATERIAL_SAMPLE",NA,NA,NA,155,153
45.52,13.57,2013,12,"Slovenia","MATERIAL_SAMPLE",NA,NA,NA,155,153
45.52,13.57,2013,12,"Slovenia","MATERIAL_SAMPLE",NA,NA,NA,155,153
45.52,13.57,2013,12,"Slovenia","MATERIAL_SAMPLE",NA,NA,NA,155,153
45.52,13.57,2013,12,"Slovenia","MATERIAL_SAMPLE",NA,NA,NA,155,153
45.52,13.57,2013,12,"Slovenia","MATERIAL_SAMPLE",NA,NA,NA,155,153
45.52,13.57,2013,12,"Slovenia","MATERIAL_SAMPLE",NA,NA,NA,155,153
45.52,13.57,2013,12,"Slovenia","MATERIAL_SAMPLE",NA,NA,NA,155,153
45.52,13.57,2013,12,"Slovenia","MATERIAL_SAMPLE",NA,NA,NA,155,153
45.52,13.57,2013,12,"Slovenia","MATERIAL_SAMPLE",NA,NA,NA,155,153
45.52,13.57,2013,12,"Slovenia","MATERIAL_SAMPLE",NA,NA,NA,155,153
45.52,13.57,2013,12,"Slovenia","MATERIAL_SAMPLE",NA,NA,NA,155,153
45.52,13.57,2013,12,"Slovenia","MATERIAL_SAMPLE",NA,NA,NA,155,153
45.52,13.57,2013,12,"Slovenia","MATERIAL_SAMPLE",NA,NA,NA,155,153
45.52,13.57,2013,12,"Slovenia","MATERIAL_SAMPLE",NA,NA,NA,155,153
45.52,13.57,2013,12,"Slovenia","MATERIAL_SAMPLE",NA,NA,NA,155,153
45.52,13.57,2013,12,"Slovenia","MATERIAL_SAMPLE",NA,NA,NA,155,153
45.52,13.57,2013,12,"Slovenia","MATERIAL_SAMPLE",NA,NA,NA,155,153
45.52,13.57,2013,12,"Slovenia","MATERIAL_SAMPLE",NA,NA,NA,155,153
45.52,13.57,2013,12,"Slovenia","MATERIAL_SAMPLE",NA,NA,NA,155,153
45.52,13.57,2013,12,"Slovenia","MATERIAL_SAMPLE",NA,NA,NA,155,153
45.52,13.57,2013,12,"Slovenia","MATERIAL_SAMPLE",NA,NA,NA,155,153
45.52,13.57,2013,12,"Slovenia","MATERIAL_SAMPLE",NA,NA,NA,155,153
45.52,13.57,2013,12,"Slovenia","MATERIAL_SAMPLE",NA,NA,NA,155,153
45.52,13.57,2013,12,"Slovenia","MATERIAL_SAMPLE",NA,NA,NA,155,153
45.52,13.57,2013,12,"Slovenia","MATERIAL_SAMPLE",NA,NA,NA,155,153
45.52,13.57,2013,12,"Slovenia","MATERIAL_SAMPLE",NA,NA,NA,155,153
45.52,13.57,2013,12,"Slovenia","MATERIAL_SAMPLE",NA,NA,NA,155,153
45.52,13.57,2013,12,"Slovenia","MATERIAL_SAMPLE",NA,NA,NA,155,153
45.52,13.57,2013,12,"Slovenia","MATERIAL_SAMPLE",NA,NA,NA,155,153
45.52,13.57,2013,12,"Slovenia","MATERIAL_SAMPLE",NA,NA,NA,155,153
45.52,13.57,2013,12,"Slovenia","MATERIAL_SAMPLE",NA,NA,NA,155,153
45.52,13.57,2013,12,"Slovenia","MATERIAL_SAMPLE",NA,NA,NA,155,153
45.52,13.57,2013,12,"Slovenia","MATERIAL_SAMPLE",NA,NA,NA,155,153
45.52,13.57,2013,12,"Slovenia","MATERIAL_SAMPLE",NA,NA,NA,155,153
45.52,13.57,2013,12,"Slovenia","MATERIAL_SAMPLE",NA,NA,NA,155,153
45.52,13.57,2013,12,"Slovenia","MATERIAL_SAMPLE",NA,NA,NA,155,153
45.52,13.57,2013,12,"Slovenia","MATERIAL_SAMPLE",NA,NA,NA,155,153
45.52,13.57,2013,12,"Slovenia","MATERIAL_SAMPLE",NA,NA,NA,155,153
45.52,13.57,2013,12,"Slovenia","MATERIAL_SAMPLE",NA,NA,NA,155,153
45.52,13.57,2013,12,"Slovenia","MATERIAL_SAMPLE",NA,NA,NA,155,153
45.52,13.57,2013,12,"Slovenia","MATERIAL_SAMPLE",NA,NA,NA,155,153
45.52,13.57,2013,12,"Slovenia","MATERIAL_SAMPLE",NA,NA,NA,155,153
45.52,13.57,2013,12,"Slovenia","MATERIAL_SAMPLE",NA,NA,NA,155,153
45.52,13.57,2013,12,"Slovenia","MATERIAL_SAMPLE",NA,NA,NA,155,153
45.52,13.57,2013,12,"Slovenia","MATERIAL_SAMPLE",NA,NA,NA,155,153
45.52,13.57,2013,12,"Slovenia","MATERIAL_SAMPLE",NA,NA,NA,155,153
