"latitude","longitude","year","month","country","basisOfRecord","latitude_moved","longitude_moved","dist_moved","Galway_seaway","Galway_geodesic","Toralla_seaway","Toralla_geodesic"
43.175689,5.385778,2025,4,"France","HUMAN_OBSERVATION",NA,NA,NA,3455,1581,2229,1164
43.175689,5.385778,2025,4,"France","HUMAN_OBSERVATION",NA,NA,NA,3455,1581,2229,1164
43.175689,5.385778,2025,4,"France","HUMAN_OBSERVATION",NA,NA,NA,3455,1581,2229,1164
43.176732,5.370311,2025,4,"France","HUMAN_OBSERVATION",NA,NA,NA,3455,1580,2229,1163
43.260581,5.289684,2025,4,"France","HUMAN_OBSERVATION",NA,NA,NA,3456,1569,2231,1156
43.176738,5.370211,2025,4,"France","HUMAN_OBSERVATION",NA,NA,NA,3455,1580,2229,1163
43.264119,5.286708,2025,4,"France","HUMAN_OBSERVATION",NA,NA,NA,3456,1569,2231,1156
43.264119,5.286708,2025,4,"France","HUMAN_OBSERVATION",NA,NA,NA,3456,1569,2231,1156
43.171305,5.393967,2025,4,"France","HUMAN_OBSERVATION",NA,NA,NA,3455,1582,2229,1165
43.171498,5.393803,2025,4,"France","HUMAN_OBSERVATION",NA,NA,NA,3455,1582,2229,1165
43.174521,5.397987,2025,4,"France","HUMAN_OBSERVATION",NA,NA,NA,3455,1582,2229,1165
43.176684,5.370386,2025,4,"France","HUMAN_OBSERVATION",NA,NA,NA,3455,1580,2229,1163
43.176684,5.370386,2025,4,"France","HUMAN_OBSERVATION",NA,NA,NA,3455,1580,2229,1163
43.171588,5.393827,2025,4,"France","HUMAN_OBSERVATION",NA,NA,NA,3455,1582,2229,1165
43.176716,5.370242,2025,4,"France","HUMAN_OBSERVATION",NA,NA,NA,3455,1580,2229,1163
43.176849,5.370761,2025,4,"France","HUMAN_OBSERVATION",NA,NA,NA,3455,1580,2229,1163
43.329747,5.234914,2025,4,"France","HUMAN_OBSERVATION",43.25,5.25000000000001,8.96,3456,1568,2231,1153
43.213731,5.337333,2025,4,"France","HUMAN_OBSERVATION",NA,NA,NA,3462,1576,2237,1160
43.188472,5.385133,2025,4,"France","HUMAN_OBSERVATION",NA,NA,NA,3455,1580,2229,1164
43.186309,5.391769,2025,4,"France","HUMAN_OBSERVATION",NA,NA,NA,3455,1581,2229,1164
43.261068,5.290277,2025,4,"France","HUMAN_OBSERVATION",NA,NA,NA,3456,1569,2231,1156
43.261068,5.290277,2025,4,"France","HUMAN_OBSERVATION",NA,NA,NA,3456,1569,2231,1156
43.176586,5.370255,2025,4,"France","HUMAN_OBSERVATION",NA,NA,NA,3455,1580,2229,1163
43.171472,5.393794,2025,4,"France","HUMAN_OBSERVATION",NA,NA,NA,3455,1582,2229,1165
43.176763,5.370714,2025,4,"France","HUMAN_OBSERVATION",NA,NA,NA,3455,1580,2229,1163
43.210931,5.350958,2025,4,"France","HUMAN_OBSERVATION",NA,NA,NA,3462,1576,2237,1161
43.210931,5.350958,2025,4,"France","HUMAN_OBSERVATION",NA,NA,NA,3462,1576,2237,1161
43.188685,5.385241,2025,4,"France","HUMAN_OBSERVATION",NA,NA,NA,3455,1580,2229,1164
37.016742,-7.807492,2025,4,"Portugal","HUMAN_OBSERVATION",36.95,-7.84999999999999,8.34,1919,1817,694,591
37.016722,-7.80831,2025,4,"Portugal","HUMAN_OBSERVATION",36.95,-7.84999999999999,8.3,1919,1817,694,591
37.014558,-7.806546,2025,4,"Portugal","HUMAN_OBSERVATION",36.95,-7.84999999999999,8.16,1919,1817,694,591
37.017014,-7.809912,2025,4,"Portugal","HUMAN_OBSERVATION",36.95,-7.84999999999999,8.27,1919,1817,694,591
42.407515,3.15816,2025,4,"Spain","HUMAN_OBSERVATION",42.45,3.25000000000001,8.91,3299,1541,2073,991
43.260563,5.289474,2025,4,"France","HUMAN_OBSERVATION",NA,NA,NA,3456,1569,2231,1156
43.260563,5.289474,2025,4,"France","HUMAN_OBSERVATION",NA,NA,NA,3456,1569,2231,1156
43.260563,5.289474,2025,4,"France","HUMAN_OBSERVATION",NA,NA,NA,3456,1569,2231,1156
43.479662,-3.787539,2025,4,"Spain","HUMAN_OBSERVATION",NA,NA,NA,1223,1172,591,431
43.479662,-3.787539,2025,4,"Spain","HUMAN_OBSERVATION",NA,NA,NA,1223,1172,591,431
43.479662,-3.787539,2025,4,"Spain","HUMAN_OBSERVATION",NA,NA,NA,1223,1172,591,431
43.479662,-3.787539,2025,4,"Spain","HUMAN_OBSERVATION",NA,NA,NA,1223,1172,591,431
43.189239,5.385439,2025,5,"France","HUMAN_OBSERVATION",NA,NA,NA,3455,1580,2229,1164
43.186212,5.391687,2025,5,"France","HUMAN_OBSERVATION",NA,NA,NA,3455,1581,2229,1164
42.046629,3.223801,2025,5,"Spain","HUMAN_OBSERVATION",NA,NA,NA,3251,1577,2026,992
42.046629,3.223801,2025,5,"Spain","HUMAN_OBSERVATION",NA,NA,NA,3251,1577,2026,992
42.046629,3.223801,2025,5,"Spain","HUMAN_OBSERVATION",NA,NA,NA,3251,1577,2026,992
42.046629,3.223801,2025,5,"Spain","HUMAN_OBSERVATION",NA,NA,NA,3251,1577,2026,992
42.046629,3.223801,2025,5,"Spain","HUMAN_OBSERVATION",NA,NA,NA,3251,1577,2026,992
42.046629,3.223801,2025,5,"Spain","HUMAN_OBSERVATION",NA,NA,NA,3251,1577,2026,992
42.046629,3.223801,2025,5,"Spain","HUMAN_OBSERVATION",NA,NA,NA,3251,1577,2026,992
43.19948,5.230548,2025,5,"France","HUMAN_OBSERVATION",NA,NA,NA,3449,1571,2223,1151
43.417379,-3.411162,2025,5,"Spain","HUMAN_OBSERVATION",43.45,-3.34999999999999,6.13,1237,1187,623,464
42.249852,3.243872,2025,5,"Spain","HUMAN_OBSERVATION",42.25,3.15000000000001,7.74,3275,1554,2050,984
43.210852,5.456374,2025,5,"France","HUMAN_OBSERVATION",43.15,5.45000000000001,6.79,3461,1587,2235,1169
43.210852,5.456374,2025,5,"France","HUMAN_OBSERVATION",43.15,5.45000000000001,6.79,3461,1587,2235,1169
37.174986,-8.908935,2025,5,"Portugal","HUMAN_OBSERVATION",NA,NA,NA,1815,1788,590,561
