"latitude","longitude","year","month","country","basisOfRecord","latitude_moved","longitude_moved","dist_moved","BelgiumCoast_seaway","BelgiumCoast_geodesic","Koster_seaway","Koster_geodesic","Limfjord_seaway","Limfjord_geodesic","Roscoff_seaway","Roscoff_geodesic","Toralla_seaway","Toralla_geodesic"
52.3,4.45,2025,1,"Netherlands","HUMAN_OBSERVATION",52.35,4.45000000000001,5.57,145,143,846,838,623,587,732,720,1612,1501
51.081612,2.520052,2025,1,"France","HUMAN_OBSERVATION",51.15,2.55000000000001,7.9,50,47,1021,1018,798,768,555,540,1435,1314
52.3,4.45,2025,1,"Netherlands","HUMAN_OBSERVATION",52.35,4.45000000000001,5.57,145,143,846,838,623,587,732,720,1612,1501
52.3,4.45,2025,1,"Netherlands","HUMAN_OBSERVATION",52.35,4.45000000000001,5.57,145,143,846,838,623,587,732,720,1612,1501
52.2,4.35,2025,1,"Netherlands","HUMAN_OBSERVATION",52.25,4.35000000000001,5.57,132,130,858,851,635,600,721,708,1601,1489
49.456977,-1.225208,2025,1,"France","HUMAN_OBSERVATION",49.45,-1.14999999999999,5.5,380,372,1330,1315,1110,1072,263,221,1143,997
51.6,4,2025,1,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,80,65,943,926,720,675,682,653,1562,1422
53.687869,8.02329,2025,1,"Germany","HUMAN_OBSERVATION",NA,NA,NA,462,421,642,608,419,364,1035,1002,1915,1780
51.55,3.65,2025,1,"Netherlands","HUMAN_OBSERVATION",51.65,3.65000000000001,11.13,49,48,938,932,715,682,651,634,1530,1408
52.05,4.15,2025,1,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,106,104,884,877,660,626,700,685,1580,1463
51.4,3.5,2025,1,"Netherlands","HUMAN_OBSERVATION",51.45,3.45000000000001,6.56,25,24,964,958,741,708,629,611,1509,1382
51.6,4,2025,1,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,80,65,943,926,720,675,682,653,1562,1422
54.626615,8.401981,2025,1,"Germany","HUMAN_OBSERVATION",NA,NA,NA,520,507,535,501,311,257,1093,1076,1973,1866
54.626977,8.401656,2025,1,"Germany","HUMAN_OBSERVATION",NA,NA,NA,520,507,535,501,311,257,1093,1076,1973,1866
53.05,4.85,2025,1,"Netherlands","HUMAN_OBSERVATION",53.05,4.95000000000001,6.69,226,226,759,753,535,503,800,790,1679,1579
52.05,4.15,2025,1,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,106,104,884,877,660,626,700,685,1580,1463
53.45,5.8,2025,1,"Netherlands","HUMAN_OBSERVATION",53.55,5.75000000000001,11.61,304,302,687,679,463,428,878,866,1757,1656
53.45,5.8,2025,1,"Netherlands","HUMAN_OBSERVATION",53.55,5.75000000000001,11.61,304,302,687,679,463,428,878,866,1757,1656
53.1,4.85,2025,1,"Netherlands","HUMAN_OBSERVATION",53.15,4.75000000000001,8.69,229,228,754,750,531,500,798,786,1678,1578
53.573573,8.241945,2025,1,"Germany","HUMAN_OBSERVATION",53.65,8.25000000000001,8.52,475,430,644,608,421,366,1049,1013,1928,1789
52.05,4.2,2025,1,"Netherlands","HUMAN_OBSERVATION",52.05,4.15000000000001,3.42,106,104,884,877,660,626,700,685,1580,1463
52.2,4.4,2025,1,"Netherlands","HUMAN_OBSERVATION",52.25,4.35000000000001,6.53,132,130,858,851,635,600,721,708,1601,1489
52.25,4.4,2025,1,"Netherlands","HUMAN_OBSERVATION",52.25,4.35000000000001,3.41,132,130,858,851,635,600,721,708,1601,1489
51.6,3.7,2025,1,"Netherlands","HUMAN_OBSERVATION",51.65,3.65000000000001,6.55,49,48,938,932,715,682,651,634,1530,1408
53.569701,6.688864,2025,1,"Germany","HUMAN_OBSERVATION",NA,NA,NA,358,345,666,651,443,400,931,919,1811,1704
51.6,3.65,2025,1,"Netherlands","HUMAN_OBSERVATION",51.65,3.65000000000001,5.57,49,48,938,932,715,682,651,634,1530,1408
52.2,4.35,2025,1,"Netherlands","HUMAN_OBSERVATION",52.25,4.35000000000001,5.57,132,130,858,851,635,600,721,708,1601,1489
52.2,4.35,2025,1,"Netherlands","HUMAN_OBSERVATION",52.25,4.35000000000001,5.57,132,130,858,851,635,600,721,708,1601,1489
52.2,4.35,2025,1,"Netherlands","HUMAN_OBSERVATION",52.25,4.35000000000001,5.57,132,130,858,851,635,600,721,708,1601,1489
51.45,3.65,2025,1,"Netherlands","HUMAN_OBSERVATION",51.45,3.55000000000001,6.94,32,30,962,955,738,705,636,617,1516,1388
52.2,4.4,2025,1,"Netherlands","HUMAN_OBSERVATION",52.25,4.35000000000001,6.53,132,130,858,851,635,600,721,708,1601,1489
52.15,4.35,2025,1,"Netherlands","HUMAN_OBSERVATION",52.15,4.25000000000001,6.83,119,117,871,864,647,613,711,697,1590,1476
51.6,3.7,2025,1,"Netherlands","HUMAN_OBSERVATION",51.65,3.65000000000001,6.55,49,48,938,932,715,682,651,634,1530,1408
52.45,4.55,2025,1,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,158,156,834,825,610,574,743,732,1622,1514
52.2,4.4,2025,1,"Netherlands","HUMAN_OBSERVATION",52.25,4.35000000000001,6.53,132,130,858,851,635,600,721,708,1601,1489
53.05,4.85,2025,1,"Netherlands","HUMAN_OBSERVATION",53.05,4.95000000000001,6.69,226,226,759,753,535,503,800,790,1679,1579
53.05,4.85,2025,1,"Netherlands","HUMAN_OBSERVATION",53.05,4.95000000000001,6.69,226,226,759,753,535,503,800,790,1679,1579
51.5,4,2025,1,"Netherlands","HUMAN_OBSERVATION",51.55,3.95000000000001,6.56,73,60,941,933,718,682,675,647,1555,1416
53.05,4.85,2025,1,"Netherlands","HUMAN_OBSERVATION",53.05,4.95000000000001,6.69,226,226,759,753,535,503,800,790,1679,1579
52.3,4.45,2025,1,"Netherlands","HUMAN_OBSERVATION",52.35,4.45000000000001,5.57,145,143,846,838,623,587,732,720,1612,1501
52,4.15,2025,1,"Netherlands","HUMAN_OBSERVATION",52.05,4.15000000000001,5.57,106,104,884,877,660,626,700,685,1580,1463
52,4.15,2025,1,"Netherlands","HUMAN_OBSERVATION",52.05,4.15000000000001,5.57,106,104,884,877,660,626,700,685,1580,1463
51.35,3.45,2025,1,"Netherlands","HUMAN_OBSERVATION",51.45,3.45000000000001,11.13,25,24,964,958,741,708,629,611,1509,1382
53.05,4.85,2025,1,"Netherlands","HUMAN_OBSERVATION",53.05,4.95000000000001,6.69,226,226,759,753,535,503,800,790,1679,1579
53.55,6.45,2025,1,"Netherlands","HUMAN_OBSERVATION",53.55,6.35000000000001,6.61,338,327,673,662,448,411,911,899,1791,1686
51.75,3.8,2025,1,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,66,63,923,918,699,667,668,648,1548,1423
52.15,4.35,2025,1,"Netherlands","HUMAN_OBSERVATION",52.15,4.25000000000001,6.83,119,117,871,864,647,613,711,697,1590,1476
52.15,4.35,2025,1,"Netherlands","HUMAN_OBSERVATION",52.15,4.25000000000001,6.83,119,117,871,864,647,613,711,697,1590,1476
53.55,6.45,2025,1,"Netherlands","HUMAN_OBSERVATION",53.55,6.35000000000001,6.61,338,327,673,662,448,411,911,899,1791,1686
53.45,5.9,2025,1,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,307,299,693,685,469,434,881,868,1760,1656
53.05,4.85,2025,1,"Netherlands","HUMAN_OBSERVATION",53.05,4.95000000000001,6.69,226,226,759,753,535,503,800,790,1679,1579
53.05,4.85,2025,1,"Netherlands","HUMAN_OBSERVATION",53.05,4.95000000000001,6.69,226,226,759,753,535,503,800,790,1679,1579
54.876845,8.458528,2025,1,"Germany","HUMAN_OBSERVATION",NA,NA,NA,534,529,512,473,289,228,1107,1095,1987,1886
53,4.85,2025,1,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,213,217,772,761,548,511,787,782,1666,1571
52.7,4.6,2025,1,"Netherlands","HUMAN_OBSERVATION",52.75,4.55000000000001,6.51,183,183,801,795,577,545,757,749,1636,1537
52.45,4.55,2025,1,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,158,156,834,825,610,574,743,732,1622,1514
50.292,1.539734,2025,1,"France","HUMAN_OBSERVATION",NA,NA,NA,198,163,1152,1136,931,887,452,435,1332,1196
52.6,5,2025,1,"Netherlands","HUMAN_OBSERVATION",52.75,4.65000000000001,28.93,187,187,800,792,576,542,761,755,1641,1542
53.166642,0.351023,2025,1,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",53.25,0.35000000000001,9.28,297,285,918,915,724,688,773,588,1653,1401
53,4.75,2025,1,"Netherlands","HUMAN_OBSERVATION",53.05,4.65000000000001,8.71,216,215,767,763,543,513,786,774,1665,1565
51.054118,2.411714,2025,1,"France","HUMAN_OBSERVATION",51.15,2.45000000000001,11,57,54,1025,1021,802,772,548,534,1428,1309
52.2,4.35,2025,1,"Netherlands","HUMAN_OBSERVATION",52.25,4.35000000000001,5.57,132,130,858,851,635,600,721,708,1601,1489
52.3,4.45,2025,1,"Netherlands","HUMAN_OBSERVATION",52.35,4.45000000000001,5.57,145,143,846,838,623,587,732,720,1612,1501
53.05,4.85,2025,1,"Netherlands","HUMAN_OBSERVATION",53.05,4.95000000000001,6.69,226,226,759,753,535,503,800,790,1679,1579
50.283242,1.537011,2025,1,"France","HUMAN_OBSERVATION",NA,NA,NA,198,164,1152,1137,931,888,452,435,1332,1195
52.45,4.55,2025,1,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,158,156,834,825,610,574,743,732,1622,1514
52.4,4.55,2025,1,"Netherlands","HUMAN_OBSERVATION",52.45,4.55000000000001,5.57,158,156,834,825,610,574,743,732,1622,1514
50.614729,-3.413031,2025,1,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,507,468,1443,1306,1223,1077,217,215,1068,1019
51.35,3.45,2025,1,"Netherlands","HUMAN_OBSERVATION",51.45,3.45000000000001,11.13,25,24,964,958,741,708,629,611,1509,1382
53.724863,7.363312,2025,1,"Germany","HUMAN_OBSERVATION",NA,NA,NA,412,389,637,618,414,370,985,966,1865,1749
52.2,4.4,2025,1,"Netherlands","HUMAN_OBSERVATION",52.25,4.35000000000001,6.53,132,130,858,851,635,600,721,708,1601,1489
52.2,4.35,2025,1,"Netherlands","HUMAN_OBSERVATION",52.25,4.35000000000001,5.57,132,130,858,851,635,600,721,708,1601,1489
51.068935,2.474766,2025,1,"France","HUMAN_OBSERVATION",51.15,2.45000000000001,9.19,57,54,1025,1021,802,772,548,534,1428,1309
52.45,4.55,2025,1,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,158,156,834,825,610,574,743,732,1622,1514
52.45,4.55,2025,1,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,158,156,834,825,610,574,743,732,1622,1514
50.541113,-3.499757,2025,1,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,504,476,1439,1316,1219,1087,206,206,1057,1009
52.25,4.45,2025,1,"Netherlands","HUMAN_OBSERVATION",52.25,4.35000000000001,6.82,132,130,858,851,635,600,721,708,1601,1489
52.4,4.55,2025,1,"Netherlands","HUMAN_OBSERVATION",52.45,4.55000000000001,5.57,158,156,834,825,610,574,743,732,1622,1514
53.675659,6.931993,2025,1,"Germany","HUMAN_OBSERVATION",NA,NA,NA,381,364,652,634,429,384,955,939,1834,1724
50.136045,1.466978,2025,1,"France","HUMAN_OBSERVATION",NA,NA,NA,210,180,1164,1153,943,905,442,424,1322,1180
52.15,4.35,2025,1,"Netherlands","HUMAN_OBSERVATION",52.15,4.25000000000001,6.83,119,117,871,864,647,613,711,697,1590,1476
52.4,4.55,2025,1,"Netherlands","HUMAN_OBSERVATION",52.45,4.55000000000001,5.57,158,156,834,825,610,574,743,732,1622,1514
52.890886,-4.398953,2025,1,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,988,544,1697,1172,1589,970,507,465,1258,1230
