"latitude","longitude","year","month","country","basisOfRecord","latitude_moved","longitude_moved","dist_moved","Limfjord_seaway","Limfjord_geodesic"
53,4.7,2021,8,"Netherlands","HUMAN_OBSERVATION",53.05,4.65000000000001,6.5,543,513
51.59,3.66,2019,3,"Netherlands","HUMAN_OBSERVATION",51.65,3.65000000000001,6.71,715,682
53.417,5.324,2019,3,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,484,455
52.64,4.62,2018,1,"Netherlands","HUMAN_OBSERVATION",52.65,4.55000000000001,4.86,588,555
52.64,4.62,2017,1,"Netherlands","HUMAN_OBSERVATION",52.65,4.55000000000001,4.86,588,555
51.525,4.078,2017,3,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,720,680
51.84,3.94,2009,10,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,686,654
52.136379,-9.88933,NA,NA,"Ireland","HUMAN_OBSERVATION",52.25,-9.84999999999999,12.93,1720,1322
