"latitude","longitude","year","month","country","basisOfRecord","latitude_moved","longitude_moved","dist_moved","BelgiumCoast_seaway","BelgiumCoast_geodesic","Crete_seaway","Crete_geodesic","Getxo_seaway","Getxo_geodesic","Koster_seaway","Koster_geodesic","Limfjord_seaway","Limfjord_geodesic","Plymouth_seaway","Plymouth_geodesic","RavennaH_seaway","RavennaH_geodesic","RavennaM_seaway","RavennaM_geodesic","Roscoff_seaway","Roscoff_geodesic"
51.886287,-10.371647,2024,7,"Ireland","HUMAN_OBSERVATION",51.85,-10.45,6.73,1086,943,4837,3358,1100,1098,1870,1565,1762,1380,532,471,5036,1875,5036,1875,583,578
54.672009,-5.895538,2024,7,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,1180,710,5194,3209,1295,1278,1489,1136,1381,968,626,493,5393,1733,5393,1733,699,676
43.425009,3.699976,2024,8,"France","HUMAN_OBSERVATION",43.35,3.65000000000001,9.28,3635,890,2123,2046,2802,540,4571,1802,4351,1555,3162,980,2280,709,2280,709,3032,838
43.425009,3.699976,2024,8,"France","HUMAN_OBSERVATION",43.35,3.65000000000001,9.28,3635,890,2123,2046,2802,540,4571,1802,4351,1555,3162,980,2280,709,2280,709,3032,838
51.893193,-10.348122,2024,8,"Ireland","HUMAN_OBSERVATION",51.95,-10.35,6.33,1091,935,4847,3356,1106,1103,1860,1552,1752,1369,538,468,5046,1872,5046,1872,588,579
51.891599,-10.329047,2024,8,"Ireland","HUMAN_OBSERVATION",51.95,-10.35,6.66,1091,935,4847,3356,1106,1103,1860,1552,1752,1369,538,468,5046,1872,5046,1872,588,579
44.664317,-1.179646,2024,9,"France","HUMAN_OBSERVATION",44.75,-1.14999999999999,9.82,1178,800,4565,2460,220,217,2114,1778,1894,1527,715,664,4764,1071,4764,1071,575,491
51.8914,-10.357409,2024,9,"Ireland","HUMAN_OBSERVATION",51.95,-10.35,6.54,1091,935,4847,3356,1106,1103,1860,1552,1752,1369,538,468,5046,1872,5046,1872,588,579
54.672267,-5.895353,2024,9,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,1180,710,5194,3209,1295,1278,1489,1136,1381,968,626,493,5393,1733,5393,1733,699,676
54.391321,-5.574794,2024,9,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",54.45,-5.54999999999999,6.73,1150,679,5164,3177,1265,1249,1508,1130,1400,956,596,464,5363,1701,5363,1701,669,647
