"","Longitude","Latitude","year","month","country"
"142",-5.584059,36.013699,2018,1,"Spain"
"143",3.7,43.42472,2018,3,"France"
"144",3.7,43.42472,2018,3,"France"
"145",3.7,43.42472,2018,3,"France"
"146",3.7,43.42472,2018,3,"France"
"147",3.7,43.42472,2018,3,"France"
"148",3.7,43.42472,2018,4,"France"
"149",3.66769,43.43958,2018,4,"France"
"150",3.7,43.42472,2018,4,"France"
"151",3.63451,43.43156,2018,4,"France"
"152",3.7,43.42472,2018,4,"France"
"153",3.7,43.42472,2018,4,"France"
"154",3.60545,43.42128,2018,4,"France"
"155",3.7,43.42472,2018,4,"France"
"156",6.77364,43.4064,2018,4,"France"
"157",3.7,43.42472,2018,4,"France"
"158",3.67174,43.44347,2018,4,"France"
"159",3.7,43.42472,2018,4,"France"
"160",3.7,43.42472,2018,4,"France"
"161",3.7,43.42472,2018,4,"France"
"162",3.7,43.42472,2018,5,"France"
"163",3.7,43.42472,2018,5,"France"
"164",3.7,43.42472,2018,6,"France"
"165",3.7,43.42472,2018,6,"France"
"166",3.7,43.42472,2018,7,"France"
"167",3.16021,42.4611,2018,7,"France"
"168",-1.43762,43.65601,2018,7,"France"
"169",3.7,43.42472,2018,7,"France"
"170",-1.22856,44.69716,2018,7,"France"
"171",3.7,43.42472,2018,8,"France"
"172",3.7,43.42472,2018,8,"France"
"173",3.7,43.42472,2018,8,"France"
"174",3.51475,43.27058,2018,8,"France"
"175",3.7,43.42472,2018,9,"France"
"176",3.7,43.42472,2018,9,"France"
"177",3.7,43.42472,2018,9,"France"
"178",3.7,43.42472,2018,9,"France"
"179",-1.43762,43.65601,2018,9,"France"
"180",3.7,43.42472,2018,9,"France"
"181",3.7,43.42472,2018,9,"France"
"182",3.7,43.42472,2018,9,"France"
"183",3.7,43.42472,2018,10,"France"
"184",3.7,43.42472,2018,10,"France"
"185",3.7,43.42472,2018,10,"France"
"186",3.7,43.42472,2018,10,"France"
"187",3.7,43.42472,2018,10,"France"
"188",3.215654,39.740706,2018,11,"Spain"
"189",3.7,43.42472,2018,11,"France"
"190",3.7,43.42472,2018,11,"France"
"191",3.7,43.42472,2018,11,"France"
"192",0.11775,49.48892,2017,1,"France"
"193",3.7,43.42472,2017,5,"France"
"194",3.7,43.42472,2017,5,"France"
"195",3.7,43.42472,2017,5,"France"
"196",3.7,43.42472,2017,5,"France"
"197",3.49883,43.24932,2017,6,"France"
"198",3.7,43.42472,2017,6,"France"
"199",3.7,43.42472,2017,7,"France"
"200",-6.43452,36.742475,2017,9,"Spain"
"201",-6.43452,36.742475,2017,9,"Spain"
"202",3.7,43.42472,2017,10,"France"
"203",3.7,43.42472,2017,11,"France"
"204",-8.654172,40.647599,2016,6,"Portugal"
"205",3.699389,43.424687,2016,6,"France"
"206",-8.654172,40.647599,2016,6,"Portugal"
"207",-7.868271,43.698059,2016,10,"Spain"
"208",0.707101,40.812344,2015,1,"Spain"
"209",0.707101,40.812344,2015,1,"Spain"
"210",-3.441925,40.302455,2015,2,"Spain"
"211",3.66769,43.43958,2015,5,"France"
"212",-1.67374,49.68508,2015,10,"France"
"213",0.330601,50.794717,2014,8,"United Kingdom of Great Britain and Northern Ireland"
"214",-3.43042,47.70109,2014,8,"France"
"215",0.56231,51.39605,2014,8,"United Kingdom of Great Britain and Northern Ireland"
"216",8.75475,41.85043,2014,8,"France"
"217",-1.399476,50.874004,2014,9,"United Kingdom of Great Britain and Northern Ireland"
"218",-2.450041,50.606696,2014,9,"United Kingdom of Great Britain and Northern Ireland"
"219",-1.097376,50.841484,2014,9,"United Kingdom of Great Britain and Northern Ireland"
"220",3.66769,43.43958,2013,4,"France"
"221",-0.518417,38.301792,2013,4,"Spain"
