"latitude","longitude","year","month","country","basisOfRecord","latitude_moved","longitude_moved","dist_moved","Galway_seaway","Galway_geodesic","Plymouth_seaway","Plymouth_geodesic","Roscoff_seaway","Roscoff_geodesic"
48.59619,-2.01798,2022,2,"France","HUMAN_OBSERVATION",48.65,-2.04999999999999,6.44,876,744,245,244,158,141
48.57114,-1.98165,2022,2,"France","HUMAN_OBSERVATION",48.65,-2.04999999999999,10.12,876,744,245,244,158,141
43.421291,4.921123,2022,3,"France","HUMAN_OBSERVATION",43.35,4.95000000000001,8.27,3446,1544,3207,1043,3077,911
43.422662,4.917733,2022,3,"France","HUMAN_OBSERVATION",43.35,4.95000000000001,8.5,3446,1544,3207,1043,3077,911
47.36521,-2.53153,2022,5,"France","HUMAN_OBSERVATION",NA,NA,NA,942,832,444,354,304,185
51.33329,3.20088,2022,5,"Belgium","HUMAN_OBSERVATION",51.35,3.15000000000001,4,1243,904,569,526,605,588
47.36425,-2.53168,2022,6,"France","HUMAN_OBSERVATION",NA,NA,NA,942,832,444,355,304,185
48.78329,-3.583153,2022,7,"France","HUMAN_OBSERVATION",NA,NA,NA,766,658,185,181,29,29
47.29383,-2.54824,2022,7,"France","HUMAN_OBSERVATION",NA,NA,NA,946,837,448,362,307,190
48.60343,-2.02022,2022,7,"France","HUMAN_OBSERVATION",NA,NA,NA,876,749,245,250,158,144
48.30466,-4.64344,2022,7,"France","HUMAN_OBSERVATION",NA,NA,NA,731,657,230,232,90,68
50.365078,-4.132024,2022,8,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,689,503,0,2,180,184
51.33329,3.2022,2022,8,"Belgium","HUMAN_OBSERVATION",51.35,3.15000000000001,4.08,1243,904,569,526,605,588
54.491313,-5.649673,2022,9,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",54.55,-5.64999999999999,6.53,527,306,609,476,682,659
47.487381,-3.101542,2022,9,"France","HUMAN_OBSERVATION",NA,NA,NA,893,796,396,329,255,151
47.487381,-3.101542,2022,9,"France","HUMAN_OBSERVATION",NA,NA,NA,893,796,396,329,255,151
47.487381,-3.101542,2022,9,"France","HUMAN_OBSERVATION",NA,NA,NA,893,796,396,329,255,151
54.491313,-5.649673,2022,9,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",54.55,-5.64999999999999,6.53,527,306,609,476,682,659
51.696857,-4.677659,2022,10,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,583,385,294,152,367,335
51.696857,-4.677659,2022,10,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,583,385,294,152,367,335
48.59619,-2.01798,2021,2,"France","HUMAN_OBSERVATION",48.65,-2.04999999999999,6.44,876,744,245,244,158,141
48.59619,-2.01798,2021,2,"France","HUMAN_OBSERVATION",48.65,-2.04999999999999,6.44,876,744,245,244,158,141
48.68674,-1.96029,2021,3,"France","HUMAN_OBSERVATION",48.75,-1.94999999999999,7.08,880,741,242,240,162,148
48.59619,-2.01798,2021,5,"France","HUMAN_OBSERVATION",48.65,-2.04999999999999,6.44,876,744,245,244,158,141
48.6373,-2.0217,2021,6,"France","HUMAN_OBSERVATION",NA,NA,NA,876,746,245,247,158,143
48.63767,-2.02248,2021,6,"France","HUMAN_OBSERVATION",NA,NA,NA,876,746,245,247,158,143
48.68244,-1.98737,2021,7,"France","HUMAN_OBSERVATION",48.65,-2.04999999999999,5.85,876,744,245,244,158,141
52.95721,1.103449,2021,7,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,1346,727,672,464,708,591
