"latitude","longitude","year","month","country","basisOfRecord","latitude_moved","longitude_moved","dist_moved","Getxo_seaway","Getxo_geodesic"
51.2378,2.91888,2025,4,"Belgium","HUMAN_OBSERVATION",51.25,2.85000000000001,4.99,1245,984
58.04504,11.81079,2025,4,"Sweden","HUMAN_OBSERVATION",58.05,11.75,3.62,2188,1931
58.32967,11.83167,2025,4,"Sweden","HUMAN_OBSERVATION",58.25,11.65,13.84,2190,1945
57.63022,11.88063,2025,4,"Sweden","HUMAN_OBSERVATION",57.55,11.85,9.12,2182,1892
53.408999,6.199038,2025,5,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,1558,1309
51.4,4,2025,5,"Netherlands","HUMAN_OBSERVATION",51.45,3.95000000000001,6.56,1351,1043
51.5,3.9,2025,5,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,1351,1046
51.5,3.9,2025,5,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,1351,1046
51.5,3.9,2025,5,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,1351,1046
57.31761,12.14997,2025,5,"Sweden","HUMAN_OBSERVATION",57.35,12.05,7.01,2203,1883
57.62649,11.87717,2025,5,"Sweden","HUMAN_OBSERVATION",57.55,11.85,8.67,2182,1892
51.946281,1.29077,2024,1,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,1234,1010
51.945084,1.291016,2024,1,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,1234,1010
51.942768,1.29097,2024,1,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,1234,1009
52.468788,4.574702,2024,1,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,1407,1162
51.35,3.6,2024,1,"Netherlands","HUMAN_OBSERVATION",51.45,3.55000000000001,11.66,1301,1028
51.4,3.7,2024,1,"Netherlands","HUMAN_OBSERVATION",51.45,3.55000000000001,11.81,1301,1028
51.4,3.7,2024,1,"Netherlands","HUMAN_OBSERVATION",51.45,3.55000000000001,11.81,1301,1028
51.4,3.7,2024,1,"Netherlands","HUMAN_OBSERVATION",51.45,3.55000000000001,11.81,1301,1028
51.5,3.95,2024,1,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,1351,1047
51.5,3.95,2024,1,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,1351,1047
51.946281,1.29077,2024,1,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,1234,1010
51.945084,1.291016,2024,1,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,1234,1010
